country,hazard,rp,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dk_event,fa,error_incl,error_excl,max_aid,need,aid,unif_aid
Albania,earthquake,1.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,52.60652358081212,0.0022585582045691805,0.0,0.0,567.95852,31.61569278298959,31.61569278298959,13998.174906021637
Albania,earthquake,20.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,169.80875291732588,0.007290406702505895,0.0,0.0,567.95852,102.05238815770997,102.05238815770997,13998.174906021635
Albania,earthquake,50.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,359.7995086408323,0.015447288224480056,0.0,0.0,567.95852,216.2338423900003,216.2338423900003,13998.174906021639
Albania,earthquake,100.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,620.9765979014256,0.026660415753974643,0.0,0.0,567.95852,373.19716279139175,373.19716279139175,13998.174906021639
Albania,earthquake,250.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,1230.7259220568326,0.05283881046743971,0.0,0.0,567.95852,739.6469107493481,567.95852,10748.889215626588
Albania,earthquake,500.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,1969.1072954176275,0.08453977064100565,0.0,0.0,567.95852,1183.4024959477501,567.95852,6718.240606682155
Albania,earthquake,1000.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,2999.4278861045127,0.12877457014943014,0.0,0.0,567.95852,1802.608956399476,567.95852,4410.486630558661
Albania,earthquake,1500.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,3755.7036676208245,0.16124379174010847,0.0,0.0,567.95852,2257.1187992881655,567.95852,3522.358993612797
Albania,earthquake,2000.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,2.650589121277293e-11,1.1379786002407857e-15,0.0,0.0,567.95852,1.5929623485480194e-11,1.5929623485480194e-11,13998.174906021637
Albania,flood,1.0,11359.1704,11424.62832,2876101,0.08900000000000001,0.5837600000000001,4146.89625,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.1852799860314327,1.0,0.183943312911,1.118347494599629,14.339462976131694,0.0006129365521022206,0.0,0.0,567.95852,8.57999306262073,8.57999306262073,13998.174906021639
