country,gdp_pc_pp,gdp_pc_pp_A,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Albania,11359.1704,11424.62832,2876101,0.5837600000000001,4146.89625,5,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.17475920840499998
Algeria,13921.180019999998,13974.66622,40606052,0.71304,3843.752322,5,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1.0,0.12955854598878927
Angola,5984.6404219999995,6024.726138,28813463,0.44819,3110.8081829999996,5,0.2,1.5,0.06,0.8,0.05,0.0,0.15,0.43239739052511456,1.0,0.10613230399367693
Antigua and Barbuda,21013.017630000002,20777.613080000003,100963,0.23393000000000003,14353.37881,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,0.40051064160860556,1.0,0.12371490701349916
Argentina,18489.43489,10405.0,43847430,0.9189299999999999,12449.21685,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4,0.2695495148851759,1.0,0.148267179288
Armenia,8190.239289,8174.3667319999995,2924816,0.62558,3606.1520570000002,5,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.351328706266
Australia,44260.57597,44414.029480000005,24127159,0.89554,49927.81951,5,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666667,0.27360239086009513,1.0,0.158996
Austria,44438.724819999996,44143.70016,8747358,0.66032,44176.51522,5,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729004,1.0,0.41699351443000005
Azerbaijan,16001.3234,15994.009740000001,9762274,0.54895,3876.936433,5,0.2,1.5,0.06,0.8,0.05,0.0,0.2375,0.5982212831852317,1.0,0.425623651944
Bangladesh,3319.353556,3319.353556,162951560,0.35035,1358.779752,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.138472543886
Belarus,16752.09877,16742.2555,9507120,0.77046,4989.254611,5,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5541666666666667,0.38644453675382373,1.0,0.41684499865999997
Belgium,42094.57905,41945.69212,11348159,0.9789700000000001,41096.1573,5,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.21669151743746679,1.0,0.42390653531
Belize,7846.015831999999,7831.454486,366954,0.43845,4810.565902,5,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.9615481265045698,1.0,0.1227468420434
Benin,2009.961384,2009.961384,10872298,0.44395,789.4404107,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.3302533219458435,1.0,0.07365719175999999
Bhutan,8253.293783,8105.796967,797765,0.39377,2804.000223,5,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.18557539427848196,1.0,0.018739353067999998
Bolivia,6707.956184000001,6707.956184000001,10887882,0.68911,3104.9560890000002,5,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.45,0.4218342004210295,1.0,0.13973857202599999
Bosnia and Herzegovina,11327.48741,11179.349909999999,3516816,0.3994,4708.718261,5,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.32393223235700314,1.0,0.13249242015499998
Botswana,15723.23706,15513.44193,2250260,0.5771,6788.042745000001,5,0.2,1.5,0.06,0.8,0.05,0.6,0.7083333333333333,0.2811780767140953,1.0,0.049068881756
Brazil,14023.69162,14023.69162,207652865,0.8593299999999999,8649.948492,5,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5458333333333333,0.265575010187584,1.0,0.19739822375599997
Bulgaria,17794.52661,17709.07519,7127822,0.74266,7350.795801,5,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7166666666666667,0.3230784715072762,1.0,0.4199806117
Burkina Faso,1642.1858339999999,1594.576777,18646433,0.30688000000000004,649.7304837,5,0.2,1.5,0.06,0.8,0.05,0.8,0.4166666666666667,0.40566509188102295,1.0,0.026751492773
