country,gdp_pc_pp,gdp_pc_pp_2015,gdp_pd_pp_2005,pop,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Albania,11359.1704,10971.29252,10397.287390000001,2889167.0,0.57407,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.1852799860314327,1.0,0.17472126708250002
Angola,5984.6404219999995,6231.067992,6937.006265999999,25021974.0,0.4405,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.43239739052511456,1.0,0.10614328583642386
Argentina,18489.43489,19101.29739,18087.19626,43416755.0,0.91751,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.2695495148851759,1.0,0.14823992809749997
Armenia,8190.239289,8195.93365,7899.284409999999,3017712.0,0.62673,3.0,0.2,1.5,0.06,0.8,0.05,0.4,1,0.3666957212217474,1.0,0.35249477498240006
Australia,44260.57597,43719.502160000004,43654.580519999996,23781169.0,0.89423,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.27360239086009513,1.0,0.15804680000000002
Austria,44438.724819999996,44288.92875,43892.72954,8611088.0,0.65968,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.23227851820729004,1.0,0.4166447079340001
Azerbaijan,16001.3234,16698.86365,16695.38942,9651349.0,0.5462,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.5982212831852317,1.0,0.4490361125442
Bangladesh,3319.353556,3132.56754,3136.5610690000003,160995642.0,0.34276999999999996,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.2897089076246591,1.0,0.1384808001086
Belarus,16752.09877,17229.55519,16621.03344,9513000.0,0.76667,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.38644453675382373,1.0,0.41733603660199997
Belgium,42094.57905,41722.92186,41138.38336,11285721.0,0.9785799999999999,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.21669151743746679,1.0,0.423956265427
Benin,2009.961384,1987.167146,1985.613853,10879829.0,0.4395,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.3302533219458435,1.0,0.07287723915799998
Bhutan,8253.293783,7743.337995999999,7601.368909999999,774830.0,0.38644,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.18557539427848196,1.0,0.0187437927508
Bolivia,6707.956184000001,6531.5193979999995,6475.741503,10724705.0,0.68512,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,1,0.4218342004210295,1.0,0.1386699910234
Bosnia and Herzegovina,11327.48741,10932.04871,10023.56017,3810416.0,0.39766999999999997,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.32393223235700314,1.0,0.132666620978
Botswana,15723.23706,15356.45762,14876.331740000001,2262485.0,0.57444,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.2811780767140953,1.0,0.0491444866668
Brazil,14023.69162,14666.01817,14454.937319999999,207847528.0,0.85687,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,1,0.265575010187584,1.0,0.19749189088879995
Bulgaria,17794.52661,17000.16725,16956.409069999998,7177991.0,0.73948,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.3230784715072762,1.0,0.42039442281200007
Burkina Faso,1642.1858339999999,1596.334538,1561.521915,18105570.0,0.29859,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.40566509188102295,1.0,0.3163487508400001
Burundi,721.1765615,748.4152713,692.6739312000001,11178921.0,0.12057000000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.4629793127178333,1.0,0.09738057318683055
Cambodia,3465.125565,3290.9524539999998,3278.221215,15577899.0,0.20723000000000003,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.45929444965397004,1.0,0.036281810096000004
Cameroon,3346.817793,3289.064546,2938.776214,23344179.0,0.54381,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.41973757460294764,1.0,0.0368617556365
Canada,43113.68397,43002.40931,42890.8811,35851774.0,0.81828,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,1,0.3354838938558465,1.0,0.17486100000000002
Central African Republic,647.8804448,626.4108725,562.1929716,4900274.0,0.40037,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.3147438330510679,1.0,0.005826693192200001
Chad,1845.914679,2047.6371789999998,2043.5442309999999,14037472.0,0.22471,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.7532009944644721,1.0,0.06394174104682258
Chile,22706.720540000002,22536.61769,22145.09481,17948141.0,0.8953,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.34739411181855295,1.0,0.1490115925261
China,14399.44766,13569.89153,13400.26697,1371220000.0,0.55614,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.22921637913923992,1.0,0.1473363666102666
Colombia,13124.324840000001,12985.38313,12988.1677,48228704.0,0.76436,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.2797792564799715,1.0,0.088512350589
Comoros,1411.152339,1413.059277,1363.563075,788474.0,0.28296,3.0,0.2,1.5,0.06,0.8,0.05,0.26666666666666666,1,0.197958724460889,1.0,0.0273255330157
"Congo, Dem. Rep.",743.8943423999999,750.497342,736.6802449,77266814.0,0.42494,3.0,0.2,1.5,0.06,0.8,0.05,0.4,1,0.23705600185809048,1.0,0.029224412564999996
"Congo, Rep.",5301.395941,5542.892982,5993.153101,4620330.0,0.6538,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.37275342390232385,1.0,0.1412458978626
Costa Rica,15401.4925,14914.20675,14471.786409999999,4807850.0,0.7682100000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.9333333333333333,1,0.48189675491736383,1.0,0.16697744698520003
Cote d'Ivoire,3424.7642100000003,3241.612056,3289.988043,22701556.0,0.5418,3.0,0.2,1.5,0.06,0.8,0.05,0.4,1,0.5759764393620561,1.0,0.09706654291278805
Croatia,21527.967669999998,20759.04815,20429.99271,4224404.0,0.5896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.23052247153165525,1.0,0.2899902769
Cyprus,31331.392999999996,30549.10097,30309.634830000003,1165300.0,0.6692100000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.20174778291418224,1.0,0.34522653622999994
Czech Republic,31338.875210000002,30605.42052,29805.33278,10551219.0,0.72992,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.23979983157078164,1.0,0.44588494953099994
Denmark,45991.224780000004,45458.69715,43415.229419999996,5676002.0,0.87676,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.23010606402758518,1.0,0.3809269869376
Dominican Republic,14098.875869999998,13371.52499,13374.90875,10528391.0,0.7898,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.3771503990888722,1.0,0.12313455722609999
Ecuador,10424.26415,10749.12887,10717.59861,16144363.0,0.63742,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.25747347179967145,1.0,0.1876875714136
"Egypt, Arab Rep.",10319.25693,10095.61017,10249.95791,91508084.0,0.43135,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.4927783418827425,1.0,0.11750810968749999
El Salvador,7989.997256000001,7845.157575,8095.558984,6126583.0,0.6672600000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.13424357530792413,1.0,0.19649546223840003
Estonia,28109.817039999998,27549.58137,26929.664039999996,1311998.0,0.67538,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.2800603915970392,1.0,0.361123459231
Ethiopia,1608.293476,1533.107632,1529.893783,99390750.0,0.19472,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.3781161653838428,1.0,0.09903525175446173
Finland,39521.5602,38885.89576,38642.81235,5482013.0,0.84221,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,1,0.21799096857432496,1.0,0.3578792603156
France,38061.094260000005,37765.750869999996,37305.69062,66808385.0,0.7952,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.2234491797478895,1.0,0.38543741446
Gabon,16786.00072,16836.60591,18831.90124,1725292.0,0.87156,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,1,0.3299123735952057,1.0,0.1262599558242
Georgia,9276.766243,9025.133143000001,9109.256977,3679000.0,0.53641,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.3632651483124993,1.0,0.567560827017
Germany,44356.85773,43937.94713,44053.068119999996,81413145.0,0.7530100000000001,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.27301744639675013,1.0,0.4051216107368999
Ghana,3980.202106,3929.681044,3953.2101799999996,27409893.0,0.54042,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.40793501657637044,1.0,0.17244602618520002
Greece,24223.992290000002,24170.30184,24617.037330000003,10823732.0,0.7800699999999999,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.23679175031633581,1.0,0.49031052092099997
Guatemala,7366.76848,7292.719104000001,7252.949965999999,16342897.0,0.51571,3.0,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,1,0.6475627728005022,1.0,0.0392574882469
Guinea,1823.3387879999998,1753.063116,1135.48655,12608590.0,0.37161,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.3510694892836516,1.0,0.07315949363738812
Haiti,1653.9618480000001,1651.228445,1658.4132029999998,10711067.0,0.58645,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,1,0.1333669537730951,1.0,0.014258189663599999
Honduras,4392.265947,4311.176397,4785.086300999999,8075060.0,0.5473,3.0,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,1,0.3635926941047578,1.0,0.138792027484
Hungary,25664.136000000002,25034.45073,24474.48885,9844686.0,0.71227,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,1,0.22126941170098394,1.0,0.5558629059999999
India,6092.648097,5754.064597,5730.137505,1311050527.0,0.32747,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,1,0.4525301642355351,1.0,0.11890031958518832
Indonesia,10764.548,10367.6953,10385.32332,257563815.0,0.53742,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.30997681866727844,1.0,0.1257301264323353
"Iran, Islamic Rep.",18497.67701,16500.90051,16507.02425,79109272.0,0.73375,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.31799517747918205,1.0,0.1389408996911888
Iraq,16086.91806,14928.8864,14017.773790000001,36423395.0,0.69471,3.0,0.2,1.5,0.06,0.8,0.05,0.2,1,0.5840924714508963,1.0,0.11397677753600001
Ireland,63301.15414,61543.2053,51899.199889999996,4640703.0,0.63241,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.31125054927451323,1.0,0.5068029456956
Israel,32688.4081,32024.352769999998,31670.69432,8380400.0,0.9214,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.3584782813615938,1.0,0.1781559119449155
Italy,34699.867360000004,34317.571860000004,33587.122639999994,60802085.0,0.6896399999999999,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,1,0.2046119687179293,1.0,0.4149682944485001
Jamaica,8179.62034,8095.261867,8528.896333,2725941.0,0.54788,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.38100911347268046,1.0,0.15371927461919999
Japan,38252.301139999996,37818.09076,35804.2312,126958472.0,0.9349799999999999,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.21044253355545398,1.0,0.21096848096488788
Jordan,8389.604573999999,8491.050310999999,10239.664279999999,7594547.0,0.8367899999999999,3.0,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,1,0.17572272222131016,1.0,0.20623407376560002
Kazakhstan,23446.56506,23522.29052,24352.8462,17544126.0,0.53247,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.3305707553557686,1.0,0.04896704280999999
Kenya,2925.600917,2835.643662,2901.012941,46050302.0,0.25622,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.46296027315172006,1.0,0.071040476838
Kyrgyz Republic,3293.700997,3237.602937,3224.877613,5957000.0,0.35707,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.5202256666410198,1.0,0.27506045459539996
Lao PDR,6073.223695000001,5755.059504999999,5341.30792,6802023.0,0.38614,3.0,0.2,1.5,0.06,0.8,0.05,0.4,1,0.2472988860728427,1.0,0.12650193795999998
Latvia,23728.51364,23034.53672,22628.43727,1978440.0,0.67382,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.2393699080806075,1.0,0.25476504839999997
Lesotho,2736.354895,2708.1485390000003,2517.0102100000004,2135022.0,0.27312,3.0,0.2,1.5,0.06,0.8,0.05,0.4,1,0.1992120956582078,1.0,0.08183701978968555
Liberia,753.557379,785.2468867,786.916697,4503438.0,0.49701000000000006,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.4725120712732518,1.0,0.12570062335999999
Lithuania,27943.81512,26970.96093,26396.86808,2910199.0,0.66508,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.3129644244946807,1.0,0.34700709920000006
Luxembourg,94920.95872000001,94088.59223,93552.60435,569676.0,0.9016,3.0,0.2,1.5,0.06,0.8,0.05,0.0,1,0.24723066038615737,1.0,0.3869394408411999
"Macedonia, FYR",13054.890809999999,12759.8166,12724.67528,2078453.0,0.57104,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.2639321665831752,1.0,0.2661866591405015
Madagascar,1396.669615,1377.1682130000002,1373.344023,24235390.0,0.35105,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.2940729838426214,1.0,0.09278017220499998
Malawi,1083.8014210000001,1088.7018050000001,1112.987302,17215232.0,0.16272,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.25307656921941635,1.0,0.023317183743500003
Malaysia,25668.88436,25001.61267,25308.0193,30331007.0,0.74705,3.0,0.2,1.5,0.06,0.8,0.05,0.8,1,0.2505940745612133,1.0,0.0618079783448
Mali,1971.08448,1919.228421,2285.307216,17599694.0,0.39916,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.6438448659589122,1.0,0.0507364084681
Mauritania,3572.28055,3601.61435,3693.5420409999997,4067564.0,0.59859,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1,0.23810597085800642,1.0,0.08645968254436043
Mauritius,19567.48966,18864.10566,18333.4202,1262605.0,0.39671,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1,0.29481279169257346,1.0,0.33331127232359997
Mexico,16832.463040000002,16671.91198,16501.9411,127017224.0,0.79246,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,1,0.36826304497677287,1.0,0.2764335540034
Moldova,4944.399693,4746.784911,4741.824603,3554150.0,0.44995,3.0,0.2,1.5,0.06,0.8,0.05,0.6,1,0.25670477375728673,1.0,0.3689796337418
Mongolia,11361.00642,11411.94211,11470.904859999999,2959134.0,0.7204,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,1,0.20767487925071607,1.0,0.230758895417
